Serial number,Barcode,Product name,Brand,Serving size (g),Sugar per serving (g),Saturated fat per serving (g),Sodium per serving (mg),Protein per serving (g),Fiber per serving (g),Calories per serving (kcal),Scores
162,8721274500233,Magnum caramel ice cream pop,Kwality walls,100 g,32.5 g,11.5 g,69.4 mg,4.2 g,0.67 g,333.8 kcal,
163,8906172545016,Hocco aamchi mango ice cream,Hocco,120 g,20.5 g,11 g,33 mg,2.5 g,NULL,243 kcal,
164,8901262176477,Amul mava malai kulfi ice cream,Amul,50 g,24 g,15.6 g,60 mg,4.6 g,NULL,324 kcal,
165,8901262173490,Amul vanilla magic ice cream,Amul,100 g,16 g,8.5 g,NULL,3.7 g,NULL,219 kcal,
166,8901262172493,Amul chocochips ice cream tub,Amul,100 g,24.5 g,8.4 g,46 mg,4.4 g,NULL,246 kcal,
167,8901262172448,Amul choco brownie ice cream tub,Amul,100 g,22.3 g,7.6 g,46 mg,4.4 g,NULL,232 kcal,
168,8906080603518,Paper boat zero sugar sparkling coffee dark roast,Paper boat,100 g,0 g,0 g,23 mg,0 g,0 g,0 kcal,
169,8901764111259,Coca cola zero,Coca cola,100 g,0 g,0 g,7.5 mg,0 g,0 g,0 kcal,
170,8850389100691,Mogu mogu strawberry fruit drink,Mogu mogu,100 g,10 g,0 g,49 mg,0 g,0.3 g,112 kcal,
171,8850389101391,Mogu mogu grape fruit drink,Mogu mogu,100 g,10 g,0 g,38 mg,0 g,0.3 g,42.5 kcal,
172,8850389100677,Mogu mogu orange fruit drink,Mogu mogu,100 g,10 g,0 g,71 mg,0 g,0.3 g,41.2 kcal,
173,8850389100684,Mogu mogu lychee fruit drink,Mogu mogu,100 g,10 g,0 g,33 mg,0 g,0.3 g,46.8 kcal,
174,8901764175015,Maaza mango drink,Maaza,100 g,13.5 g,0 g,22.6 g,0 g,0 g,60 kcal,
175,8902080002375,Getorade blue bolt zero sugar,Getorade,100 g,0 g,0 g,47 mg,0 g,0 g,1 kcal,
176,8902080000722,Slice mango drink,Slice,100 g,15.5 g,0 g,12 mg,0 g,0 g,64 kcal,
177,8902579002046,Appy fizz apple juice,Appy,100 g,14 g,0 g,21.2 mg,0 g,NULL,56 kcal,
178,8904063226402,Haldiram's classic salted chips,Haldiram,100 g,1 g,15.8 g,600 mg,7 g,NULL,546 kcal,
179,8904063226501,Haldiram's Sizzling Siracha chips,Haldiram,100 g,1 g,14.1 g,747.8 mg,1 g,NULL,523 kcal,
180,8904063226419,Haldiram's Sour cream N onion chips,Haldiram,100 g,2.5 g,15.8 g,650 mg,7.3 g,NULL,546 kcal,
181,8901491001809,Lay's sizzling hot spicy chips,Lay's,100 g,1.6 g,15 g,567 mg,6.6 g,NULL,540 kcal,
182,8901491101820,Lay's spanish tomato chips,Lay's,100 g,5.6 g,14.3 g,659 mg,6.4 g,NULL,525 kcal,
183,8901491003810,Lay's Wafer chip salted,Lay's,100 g,1.3 g,15 g,681 mg,6.5 g,NULL,539 kcal,
184,8901491003803,Lay's wafer chips red chilli flavor,Lay's,100 g,1.6 g,15 g,475 mg,7 g,NULL,543 kcal,
185,8901491001120,Lay's american style cream and onion chips,Lay's,100 g,3.4 g,14.9 g,643 mg,6.7 g,NULL,537 kcal,
186,8901491002561,Doritos Dinamita fiery lime and chilli,Doritos,100 g,2.2 g,11 g,756 mg,6.8 g,NULL,513 kcal,
187,8901491990097,Doritos sweet chilli flavour,Doritos,100 g,6.5 g,8.7 g,641 mg,6.6 g,NULL,499 kcal,
188,7622202307140,Cadbury shots chocolate,Cadbury,100 g,73.4 g,18 g,10 mg,1.6 g,NULL,475 kcal,
189,8901058005080,Munch max choco coated crunchy wafer bar,Nestle,100 g,38.2 g,23.8 g,88.7 mg,5.5 g,NULL,428 kcal,
190,7622202847653,Cadbury dairy milk milkins chocolate bar,Cadbury,100 g,54.7 g,17.5 g,124.2 mg,8.7 g,NULL,540 kcal,
191,8901058005905,Kitkat premium delights dark,Nestle,100 g,41.5 g,24.1 g,26.7 mg,3.9 g,4.3 g,463 kcal,
192,8901058852165,Kitkat premium delights rich,Nestle,100 g,42.4 g,23.2 g,82.5 mg,5.9 g,NULL,461 kcal,
193,8901058024937,Kitkat pops choco coated crispy cereal balls,Nestle,100 g,37.6 g,23 g,187.6 mg,7.1 g,NULL,442 kcal,
194,8901058023305,Kitkat premium delights salted caramel,Nestle,100 g,39.8 g,18.9 g,108.7 mg,3.6 g,NULL,405 kcal,
